meter_id,forcast_date,kwh,aq_kwh,exit_zone,period,rate_date,aq_min_kwh,aq_max_kwh,rate_p_per_kwh
14676236,2020-06-01 00:00:00,22.07076808,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-01 00:00:00,22.07076808,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-01 00:00:00,22.07076808,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-02 00:00:00,19.17071969,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-02 00:00:00,19.17071969,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-02 00:00:00,19.17071969,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-03 00:00:00,23.55511082,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-03 00:00:00,23.55511082,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-03 00:00:00,23.55511082,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-04 00:00:00,18.2207124,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-04 00:00:00,18.2207124,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-04 00:00:00,18.2207124,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-05 00:00:00,14.19613429,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-05 00:00:00,14.19613429,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-05 00:00:00,14.19613429,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-06 00:00:00,17.42007053,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-06 00:00:00,17.42007053,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-06 00:00:00,17.42007053,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-07 00:00:00,17.54175455,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-07 00:00:00,17.54175455,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-07 00:00:00,17.54175455,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-08 00:00:00,22.95314703,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-08 00:00:00,22.95314703,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-08 00:00:00,22.95314703,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-09 00:00:00,20.0094953,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-09 00:00:00,20.0094953,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-09 00:00:00,20.0094953,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-10 00:00:00,17.48536982,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-10 00:00:00,17.48536982,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-10 00:00:00,17.48536982,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-11 00:00:00,21.42998074,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-11 00:00:00,21.42998074,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-11 00:00:00,21.42998074,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-12 00:00:00,13.73379815,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-12 00:00:00,13.73379815,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-12 00:00:00,13.73379815,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-13 00:00:00,17.58418695,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-13 00:00:00,17.58418695,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-13 00:00:00,17.58418695,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-14 00:00:00,12.80588687,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-14 00:00:00,12.80588687,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-14 00:00:00,12.80588687,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-15 00:00:00,16.00233303,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-15 00:00:00,16.00233303,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-15 00:00:00,16.00233303,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-16 00:00:00,12.28674041,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-16 00:00:00,12.28674041,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-16 00:00:00,12.28674041,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-17 00:00:00,20.11573295,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-17 00:00:00,20.11573295,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-17 00:00:00,20.11573295,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-18 00:00:00,18.18987325,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-18 00:00:00,18.18987325,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-18 00:00:00,18.18987325,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-19 00:00:00,16.55087223,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-19 00:00:00,16.55087223,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-19 00:00:00,16.55087223,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
14676236,2020-06-20 00:00:00,19.77116036,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,0,73200.0,0.2652
14676236,2020-06-20 00:00:00,19.77116036,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,73200,732000.0,0.198
14676236,2020-06-20 00:00:00,19.77116036,28978,EA1,2020-04-01 00:00:00,2020-04-01 00:00:00,732000,,0.2875
